Level,Degree,Term,courseName,courseID,courseType,creditHours,Grade
U,BS1,1,CourseU1,CU1,Minor,3,98
U,BS1,1,CourseU2,CU2,Major,4,95
U,BS1,2,CourseU3,CU3,Minor,3,96
U,BS1,2,CourseU4,CU4,Major,4,98
U,BS1,3,CourseU5,CU5,Minor,3,97
U,BS1,3,CourseU6,CU6,Major,4,95
U,BS1,4,CourseU7,CU7,Minor,3,93
U,BS1,4,CourseU8,CU8,Major,4,95
U,BS1,5,CourseU1,CU1,Minor,3,98
U,BS1,5,CourseU2,CU2,Major,4,95
U,BS1,6,CourseU3,CU3,Minor,3,96
U,BS1,6,CourseU4,CU4,Major,4,98
U,BS1,7,CourseU5,CU5,Minor,3,97
U,BS1,7,CourseU6,CU6,Major,4,95
U,BS1,8,CourseU7,CU7,Minor,3,93
U,BS1,8,CourseU8,CU8,Major,4,95
G,M1,1,CourseM1,CM1,Minor,3,92
G,M1,1,CourseM2,CM2,Major,4,94
G,M1,1,CourseM3,CM3,Major,4,98
G,M1,2,CourseM4,CM4,Major,4,95
G,M1,2,CourseM1,CM1,Minor,3,92
G,M1,2,CourseM2,CM2,Major,4,94
G,M1,3,CourseM3,CM3,Minor,3,98
G,M1,3,CourseM4,CM4,Major,4,95
G,M1,3,CourseM1,CM1,Minor,3,92
G,M1,4,CourseM2,CM2,Minor,4,94
G,M1,4,CourseM3,CM3,Minor,3,98
G,M1,4,CourseM4,CM4,Major,4,95
G,D1,1,CourseD2,CD2,Minor,3,96
G,D1,1,CourseD3,CD3,Major,4,95
G,D1,2,CourseD4,CD4,Minor,3,95
G,D1,2,CourseD5,CD5,Major,4,92
G,D1,3,CourseD6,CD6,Major,4,94
G,D1,3,CourseD2,CD2,Minor,3,96
G,D1,4,CourseD3,CD3,Major,4,95
G,D1,4,CourseD4,CD4,Minor,3,95
G,D1,5,CourseD5,CD5,Minor,3,92
G,D1,5,CourseD6,CD6,Major,4,94
G,D1,6,CourseD5,CD5,Major,4,92
G,D1,6,CourseD6,CD6,Minor,3,94
