Level,Degree,Term,courseName,courseID,courseType,creditHours,Grade
U,BS1,1,CourseU1,CU1,Minor,3,98
U,BS1,1,CourseU2,CU2,Major,3,96
U,BS1,1,CourseU3,CU3,Minor,3,85
U,BS1,2,CourseU4,CU4,Minor,4,94
U,BS1,2,CourseU5,CU5,Major,4,92
U,BS1,2,CourseU6,CU6,Major,4,86
U,BS1,3,CourseU7,CU7,Major,4,96
U,BS1,3,CourseU1,CU1,Minor,3,96
U,BS1,3,CourseU2,CU2,Minor,3,85
U,BS1,4,CourseU3,CU3,Minor,3,93
U,BS1,4,CourseU4,CU4,Major,4,87
U,BS1,4,CourseU5,CU5,Major,4,97
U,BS1,5,CourseU6,CU6,Major,4,98
U,BS1,5,CourseU7,CU7,Major,4,99
U,BS1,5,CourseU1,CU1,Minor,3,92
U,BS1,6,CourseU2,CU2,Minor,3,95
U,BS1,6,CourseU3,CU3,Minor,3,93
U,BS1,6,CourseU4,CU4,Major,4,89
U,BS1,7,CourseU5,CU5,Minor,3,90
U,BS1,7,CourseU6,CU6,Major,4,92
U,BS1,7,CourseU7,CU7,Minor,3,95
